Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,SILVER,243886,OPTFUT,PE,55500,SILVER23APR55500PE,SILVER23APR55500PE,SILVER 26APR23 55500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,243887,OPTFUT,CE,55750,SILVER23APR55750CE,SILVER23APR55750CE,SILVER 26APR23 55750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,243888,OPTFUT,PE,55750,SILVER23APR55750PE,SILVER23APR55750PE,SILVER 26APR23 55750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,243889,OPTFUT,CE,56000,SILVER23APR56000CE,SILVER23APR56000CE,SILVER 26APR23 56000 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,243890,OPTFUT,PE,56000,SILVER23APR56000PE,SILVER23APR56000PE,SILVER 26APR23 56000 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,243891,OPTFUT,CE,56250,SILVER23APR56250CE,SILVER23APR56250CE,SILVER 26APR23 56250 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,243892,OPTFUT,PE,56250,SILVER23APR56250PE,SILVER23APR56250PE,SILVER 26APR23 56250 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242073,OPTFUT,CE,56500,SILVER23APR56500CE,SILVER23APR56500CE,SILVER 26APR23 56500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242074,OPTFUT,PE,56500,SILVER23APR56500PE,SILVER23APR56500PE,SILVER 26APR23 56500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242075,OPTFUT,CE,56750,SILVER23APR56750CE,SILVER23APR56750CE,SILVER 26APR23 56750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242076,OPTFUT,PE,56750,SILVER23APR56750PE,SILVER23APR56750PE,SILVER 26APR23 56750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242077,OPTFUT,CE,57000,SILVER23APR57000CE,SILVER23APR57000CE,SILVER 26APR23 57000 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242078,OPTFUT,PE,57000,SILVER23APR57000PE,SILVER23APR57000PE,SILVER 26APR23 57000 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242079,OPTFUT,CE,57250,SILVER23APR57250CE,SILVER23APR57250CE,SILVER 26APR23 57250 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242080,OPTFUT,PE,57250,SILVER23APR57250PE,SILVER23APR57250PE,SILVER 26APR23 57250 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242081,OPTFUT,CE,57500,SILVER23APR57500CE,SILVER23APR57500CE,SILVER 26APR23 57500 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242082,OPTFUT,PE,57500,SILVER23APR57500PE,SILVER23APR57500PE,SILVER 26APR23 57500 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242083,OPTFUT,CE,57750,SILVER23APR57750CE,SILVER23APR57750CE,SILVER 26APR23 57750 CE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242084,OPTFUT,PE,57750,SILVER23APR57750PE,SILVER23APR57750PE,SILVER 26APR23 57750 PE,2023-04-26,30,0.5
MCX,mcx_fo,SILVER,242085,OPTFUT,CE,58000,SILVER23APR58000CE,SILVER23APR58000CE,SILVER 26APR23 58000 CE,2023-04-26,30,0.5
MCX,mcx_fo,CRUDEOIL,246239,OPTFUT,PE,8850,CRUDEOIL22NOV8850PE,CRUDEOIL22NOV8850PE,CRUDEOIL 16NOV22 8850 PE,2022-11-16,100,0.1
