id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
1061,CDS,cde_fo,JPYINR,2220,OPTCUR,PE,58,JPYINR16DECEMBER2258PE,JPYINR22D58PE,JPYINR 16DEC22 58 PE,16-12-2022,1,0.0025
1062,CDS,cde_fo,GBPINR,2221,OPTCUR,PE,87.5,GBPINR28DECEMBER2287.5PE,GBPINR22DEC87.5PE,GBPINR 28DEC22 87.5 PE,28-12-2022,1,0.0025
1063,CDS,cde_fo,EURINR,2222,OPTCUR,CE,85,EURINR27OCTOBER2285CE,EURINR22OCT85CE,EURINR 27OCT22 85 CE,27-10-2022,1,0.0025
1064,CDS,cde_fo,EURINR,2223,OPTCUR,CE,87.25,EURINR28JUNE2387.25CE,EURINR23JUN87.25CE,EURINR 28JUN23 87.25 CE,28-06-2023,1,0.0025
1065,CDS,cde_fo,JPYINR,2224,OPTCUR,CE,57.75,JPYINR28DECEMBER2257.75CE,JPYINR22DEC57.75CE,JPYINR 28DEC22 57.75 CE,28-12-2022,1,0.0025
1066,CDS,cde_fo,JPYINR,2225,OPTCUR,PE,57.75,JPYINR28DECEMBER2257.75PE,JPYINR22DEC57.75PE,JPYINR 28DEC22 57.75 PE,28-12-2022,1,0.0025
1067,CDS,cde_fo,GBPINR,2226,OPTCUR,CE,87.75,GBPINR28DECEMBER2287.75CE,GBPINR22DEC87.75CE,GBPINR 28DEC22 87.75 CE,28-12-2022,1,0.0025
1068,CDS,cde_fo,EURINR,2227,OPTCUR,PE,87.25,EURINR28JUNE2387.25PE,EURINR23JUN87.25PE,EURINR 28JUN23 87.25 PE,28-06-2023,1,0.0025
1069,CDS,cde_fo,EURINR,2228,OPTCUR,CE,87.5,EURINR28JUNE2387.5CE,EURINR23JUN87.5CE,EURINR 28JUN23 87.5 CE,28-06-2023,1,0.0025
1070,CDS,cde_fo,EURINR,2229,OPTCUR,PE,87.5,EURINR28JUNE2387.5PE,EURINR23JUN87.5PE,EURINR 28JUN23 87.5 PE,28-06-2023,1,0.0025
1071,CDS,cde_fo,EURINR,2230,OPTCUR,CE,87.75,EURINR28JUNE2387.75CE,EURINR23JUN87.75CE,EURINR 28JUN23 87.75 CE,28-06-2023,1,0.0025
1072,CDS,cde_fo,GBPINR,2231,OPTCUR,PE,87.75,GBPINR28DECEMBER2287.75PE,GBPINR22DEC87.75PE,GBPINR 28DEC22 87.75 PE,28-12-2022,1,0.0025
1073,CDS,cde_fo,EURINR,2232,OPTCUR,PE,87.75,EURINR28JUNE2387.75PE,EURINR23JUN87.75PE,EURINR 28JUN23 87.75 PE,28-06-2023,1,0.0025
1074,CDS,cde_fo,GBPINR,2233,OPTCUR,CE,87.5,GBPINR29MARCH2387.5CE,GBPINR23MAR87.5CE,GBPINR 29MAR23 87.5 CE,29-03-2023,1,0.0025
1075,CDS,cde_fo,EURINR,2235,OPTCUR,CE,88,EURINR28JUNE2388CE,EURINR23JUN88CE,EURINR 28JUN23 88 CE,28-06-2023,1,0.0025
1076,CDS,cde_fo,EURINR,2236,OPTCUR,PE,88,EURINR28JUNE2388PE,EURINR23JUN88PE,EURINR 28JUN23 88 PE,28-06-2023,1,0.0025
1077,CDS,cde_fo,EURINR,2237,OPTCUR,CE,88.25,EURINR28JUNE2388.25CE,EURINR23JUN88.25CE,EURINR 28JUN23 88.25 CE,28-06-2023,1,0.0025
1078,CDS,cde_fo,JPYINR,2239,OPTCUR,CE,58.25,JPYINR16DECEMBER2258.25CE,JPYINR22D58.25CE,JPYINR 16DEC22 58.25 CE,16-12-2022,1,0.0025
1079,CDS,cde_fo,JPYINR,2240,OPTCUR,PE,58.25,JPYINR16DECEMBER2258.25PE,JPYINR22D58.25PE,JPYINR 16DEC22 58.25 PE,16-12-2022,1,0.0025
1080,CDS,cde_fo,EURINR,2241,OPTCUR,PE,88.25,EURINR28JUNE2388.25PE,EURINR23JUN88.25PE,EURINR 28JUN23 88.25 PE,28-06-2023,1,0.0025
1081,CDS,cde_fo,EURINR,2242,OPTCUR,PE,85,EURINR27OCTOBER2285PE,EURINR22OCT85PE,EURINR 27OCT22 85 PE,27-10-2022,1,0.0025
1082,CDS,cde_fo,EURINR,2243,OPTCUR,CE,85.25,EURINR27OCTOBER2285.25CE,EURINR22OCT85.25CE,EURINR 27OCT22 85.25 CE,27-10-2022,1,0.0025
1083,CDS,cde_fo,EURINR,2244,OPTCUR,PE,85.25,EURINR27OCTOBER2285.25PE,EURINR22OCT85.25PE,EURINR 27OCT22 85.25 PE,27-10-2022,1,0.0025
1084,CDS,cde_fo,EURINR,2245,OPTCUR,PE,82,EURINR28DECEMBER2282PE,EURINR22DEC82PE,EURINR 28DEC22 82 PE,28-12-2022,1,0.0025
1085,CDS,cde_fo,EURINR,2246,OPTCUR,CE,85.5,EURINR27OCTOBER2285.5CE,EURINR22OCT85.5CE,EURINR 27OCT22 85.5 CE,27-10-2022,1,0.0025
1086,CDS,cde_fo,EURINR,2247,OPTCUR,CE,82.25,EURINR28DECEMBER2282.25CE,EURINR22DEC82.25CE,EURINR 28DEC22 82.25 CE,28-12-2022,1,0.0025
1087,CDS,cde_fo,GBPINR,2248,OPTCUR,PE,87.5,GBPINR29MARCH2387.5PE,GBPINR23MAR87.5PE,GBPINR 29MAR23 87.5 PE,29-03-2023,1,0.0025
